source,target
3502,2941
1336,2237
4356,616
7792,4551
754,7995
9393,3166
7592,8609
86,3245
933,9225
4170,3552
6595,6478
1037,9602
1699,8413
8707,5438
6639,8877
1079,972
2686,9410
672,4738
534,2258
3529,4977
8139,5590
6439,614
9291,746
7982,225
607,3929
92,9346
4523,341
1845,7991
2084,3136
2264,6402
10024,3806
2599,2247
4977,7417
687,245
10203,5847
736,6801
7482,5082
7162,9852
3120,419
541,1738
2062,7612
8154,10067
6561,8622
7851,9953
1564,7485
331,8120
625,2645
1979,2229
264,636
6123,2680
1509,3517
4750,9986
2621,8333
4317,9329
1349,9663
835,439
6170,2716
8937,6987
4307,6424
1441,8894
6346,7975
1897,8984
5545,9832
8362,6146
2921,610
2475,8135
1432,4757
8085,7229
3433,1206
3243,7165
4058,6468
7939,4371
1007,8210
7432,8336
3687,1029
517,6719
8908,6053
8022,16
9493,4024
8250,4746
8363,3596
4622,10076
2555,8615
5300,9342
8215,7973
1771,3249
9829,7785
8226,1668
2870,8659
3137,3540
8101,451
5273,2744
4866,4969
7346,6819
4716,3417
3427,2113
4685,8995
8805,1740
9042,5031
9563,2381
3264,3350
5446,5962
7745,1967
919,8543
10268,4474
4580,1066
3537,6134
3556,2129
3048,275
5627,9127
9161,4875
8261,7989
6684,2002
1610,4911
9252,7534
9117,5017
8314,8056
5474,93
1699,6770
5564,8450
467,321
730,10179
8426,4902
7499,1487
6511,2288
2884,7801
809,582
470,3543
1376,9336
5408,3608
7935,7123
9820,811
6069,323
1975,8300
1528,8744
5494,1984
1911,1096
3380,7838
6257,1637
8900,8651
4447,10122
753,8823
3697,7247
9942,2438
1059,9112
5284,2916
8337,710
4088,3710
3103,7787
109,6170
8505,7572
968,7077
6491,3044
7190,206
7458,2380
5094,1427
5764,6408
6980,7085
9248,10300
1273,8386
8983,2832
6659,9268
3608,4379
5153,6751
3806,360
4543,7612
5235,9159
6693,2051
8503,3583
9005,9904
8622,3804
891,4414
5358,2353
3935,3700
8599,8436
8603,4816
6679,942
2866,5993
1628,9039
6043,361
2203,3974
904,1328
2051,10135
1188,4752
4392,7838
6088,8502
3935,2371
3718,9770
1864,9728
7822,4675
4718,3598
6037,9974
6403,903
1046,8444
9267,9440
3270,9105
1317,3733
4701,8846
4322,6155
2073,5928
4571,5754
4427,151
2330,1595
16,6869
2471,3080
3868,3290
4773,3307
87,7166
4843,8081
6161,9712
27,1756
5742,4259
9646,8524
2374,5744
191,9331
4111,9330
1438,7297
113,6375
3949,6509
4834,9309
7133,89
5502,5459
10273,9733
525,6145
3249,8612
2195,1271
3346,5755
6314,2223
8616,5042
8556,6989
7898,3480
893,8006
3809,6253
9208,9718
5666,8542
9153,9291
6428,9178
7714,7881
932,2825
9255,7447
8527,8993
8373,1946
8916,5671
4326,8210
8507,4408
4926,6764
120,8661
8653,992
8815,6835
8746,3615
7532,3436
7677,2068
522,6115
4234,1788
2583,10082
4481,6256
1049,6774
4803,6601
1682,4086
7934,2423
8427,7478
2698,1653
9811,8281
5405,1312
7931,7756
4378,9245
5890,8500
590,3575
8150,173
3957,5112
6267,5209
2305,7283
6199,709
5881,9810
4975,4150
5236,7503
2319,3629
10127,5007
5691,416
7712,740
4744,3823
1561,3359
6587,10104
3465,5183
3379,8058
1776,6151
2965,1365
2092,5278
5394,7055
6764,7800
180,5795
9693,3021
8326,9798
404,9253
3615,3288
9850,3070
2238,1443
8999,8196
2144,5349
9326,7786
7612,1174
3374,5389
2273,8681
709,8081
9997,6602
823,7473
1728,9431
3992,4345
5354,9528
4391,199
7184,10283
3615,3604
4730,671
334,4106
7493,1868
8788,297
728,7065
5470,4234
2761,9961
5824,3477
3527,340
1636,5131
7621,1922
8746,5499
5475,2624
3648,482
618,9067
10056,697
2710,93
4379,10066
5106,3719
7142,3782
10288,2901
7627,2419
4172,10169
9077,7552
1053,9020
9190,7193
3999,112
2827,7124
3792,1556
364,7714
3124,7629
4771,4631
1388,644
7621,1745
2490,9161
3235,2145
4853,5870
9178,5255
8955,1851
246,2455
6229,7082
5220,8236
9408,4797
3794,2033
7185,796
9239,6427
2774,4881
9336,378
8721,262
2030,4745
6549,7271
9890,3048
4933,7335
1571,9660
2974,6805
4638,3662
437,8840
2713,1685
5445,6796
6412,4767
1508,5008
6869,1349
6940,8205
5491,10189
9583,4460
3965,1216
2722,9828
1408,2736
9512,5451
9435,6222
3943,9899
9574,6481
3142,5460
301,2749
377,2842
10130,2491
9720,9149
1843,717
1047,1797
3514,2454
2824,5266
311,7870
6498,1182
3552,8506
2297,361
1760,7510
622,7506
1543,703
10248,5471
9294,4624
3150,8506
5254,7380
5910,6975
3316,1689
7556,1186
8739,6101
7973,7210
6831,3607
758,3310
6806,6099
9585,7589
1438,3505
4371,7772
471,10169
7423,6193
7092,8064
6879,3674
8264,8530
9223,5573
8062,2341
5830,5808
1059,3960
1436,5819
6178,6525
5141,354
2620,5683
502,1715
2129,2030
2749,7100
4984,4019
8393,4176
4903,6288
5234,3742
5290,8677
8255,8539
2808,847
4275,8263
6214,6096
1862,5254
728,752
2630,4091
1403,6131
4772,7767
2317,5780
1404,11
8967,4781
4482,3871
5967,2695
6318,82
9994,2774
1322,3382
3452,9525
10079,842
4744,7401
7429,5331
4663,9640
6405,5722
5821,1607
8902,6558
337,5245
2277,8871
9031,9835
6968,4260
4862,1339
9726,2929
4098,7508
3164,4872
7594,6546
3590,8969
6914,2556
6763,921
989,1079
3380,8292
7282,5786
6321,6616
9166,6982
9188,2048
428,6440
3113,3153
2530,1249
1225,4119
5346,6197
1837,942
4799,7891
1432,5747
9378,1328
7377,7968
2543,477
1662,4882
3038,4718
6160,827
6783,6368
8416,4758
2885,5612
9089,4300
1743,1817
6635,3196
843,7288
5692,8623
992,6525
3797,5731
6991,1808
3199,8290
837,4043
7473,2572
591,7305
7930,3984
9483,5420
6304,6606
4019,9972
3989,1271
8157,8060
6658,4453
4074,8794
6044,7941
2455,3019
1413,7168
6941,5843
5297,4578
4274,9204
8665,6524
10125,731
4107,646
2732,5886
3591,10078
6808,3566
9784,7090
4812,6811
7970,3202
1781,4336
2807,7329
5007,141
2004,1441
4777,3218
9276,4266
10159,6003
2149,10178
955,5000
3684,7209
4176,6135
2222,8146
384,7316
5178,8394
123,1196
9825,10285
1054,2930
7925,5904
9979,7032
2600,2861
1166,6658
4922,3635
5840,8169
6769,2103
6113,3375
8655,3521
7174,5419
2402,91
8187,8839
8897,5488
863,5640
439,7920
10231,4755
9863,700
570,6014
9981,2272
7766,5111
4339,6607
8475,679
5227,6674
9252,3374
3979,480
2205,3637
6868,5957
1457,392
5983,3709
8534,1130
3264,7435
4102,1362
1463,3698
3071,8158
2267,3054
491,5707
7204,8423
8581,2268
2803,1524
2005,2803
9607,4874
5001,3159
9401,3834
2558,4555
5213,524
1191,9901
4135,3160
6238,4690
8443,235
3337,3988
6309,3478
10181,1756
531,8434
4953,9257
8530,1114
3428,9862
8641,4564
9102,2044
5934,7063
7071,4121
7462,6805
3039,2235
1170,3924
7433,649
6112,4270
6716,2423
5755,6776
5724,2025
1307,7329
7572,7630
2664,2382
2403,7664
5296,1337
6185,1313
1298,9667
7023,8361
2253,3668
10221,6592
5875,817
8695,7891
2797,7244
537,5064
1823,3441
7409,284
6836,5377
970,3427
6527,3529
7120,1375
8136,2652
8615,3952
3049,6268
7547,8683
6830,9928
238,7054
6701,6986
4135,7085
9998,1024
1543,7696
5580,5384
4400,7087
2641,2721
1535,2581
3983,6684
4898,821
1206,8363
2257,1754
1664,3054
9107,4118
2563,4429
2788,8398
1662,4550
3993,4830
1822,1418
4762,1366
8286,5109
4155,1562
5564,7792
1623,8949
4363,3995
8190,7233
1547,5020
9584,6510
8723,2399
2841,1756
3670,9477
3653,6061
4099,4186
2076,1420
1226,5741
1640,8359
5520,4820
1995,617
1783,9128
1777,2985
8170,6415
6909,3567
5065,5326
3538,10016
8234,9349
6048,6788
6236,8527
6092,2882
3964,259
5049,4092
10107,9172
6501,9074
8815,5520
8533,5569
5455,5409
2267,9918
240,4909
5781,8896
2212,2359
8762,7507
4584,3668
9042,9810
1626,401
5240,3022
4039,8098
638,1900
9143,4599
9153,8431
7777,6184
725,6503
7187,6462
7410,6597
353,1954
10089,5164
8018,22
2805,6234
8165,5380
1411,8826
8003,104
2043,9267
9991,5871
3188,7230
2108,7921
9568,4824
7714,1355
3510,7100
5231,5597
2998,1406
2626,5325
6238,6277
1244,7053
599,3686
7851,372
8971,8538
8236,3545
5832,3604
5828,6685
4747,8694
4079,7042
898,5074
8352,6135
1644,2730
6526,4033
4923,463
7963,3313
9866,6153
8905,4013
8559,4110
9223,2524
9766,8955
457,8671
4776,9202
7225,10067
10088,5770
8919,4941
3313,7703
8041,8701
4432,8475
4530,9774
2487,1105
1731,8006
7389,3156
4057,704
9892,3714
9412,7305
4197,9522
1861,6296
2448,6074
630,1861
5961,5643
1310,644
6767,2187
7675,650
5264,835
4558,4081
2238,2167
3726,6976
945,143
1621,6475
3031,2775
2486,3474
49,5532
7027,10284
8041,1316
746,8477
967,3152
6683,3785
3638,7040
1656,2873
8251,1972
9250,8392
1331,7733
7410,1379
5487,3853
3360,5137
5759,5156
6093,5489
5362,4097
4203,4784
9347,6300
9795,1324
7829,5824
1198,2128
7032,9117
8082,6024
10111,8554
7279,8749
2618,2035
9102,5735
3738,4853
3020,4783
3803,2039
1805,6178
4602,5965
2838,6035
7816,4757
377,1886
2457,5463
10309,9792
5008,6425
3787,1567
7630,6459
542,10176
1174,3344
478,1684
3966,2312
6355,2860
3642,2625
9540,550
5431,6086
9924,5900
4133,1387
3819,6565
6194,2682
3295,8031
1482,9211
349,5060
5889,7116
7886,1420
3545,7425
2817,4973
2914,1168
6255,6802
1409,9022
7564,5602
397,9918
9287,407
6031,6122
6079,2811
5391,710
4304,2485
6814,7349
3511,8458
4516,8910
6404,2077
3067,551
7529,6286
5007,3126
9089,5756
8281,7342
8881,2845
9037,8466
6909,6824
627,6494
3165,7531
472,7521
9172,4960
734,981
6450,3346
2844,9443
6134,1414
2361,6730
4333,10014
5297,10104
9083,7766
8479,7766
3966,10182
3696,3494
1770,9497
803,7450
860,9262
7449,8242
3639,9763
4634,8849
8784,9271
6068,691
8220,2588
4030,10016
7639,3106
7233,8846
5934,2568
5669,10189
8475,3032
8184,7663
6192,8570
413,4425
1877,10117
4568,2525
3127,3970
2870,2333
8272,2345
5979,5320
3597,7851
3822,7789
5725,6263
8918,7729
9426,550
1627,6588
4694,2730
1354,7432
6088,5364
4058,7210
7271,510
3400,647
2992,8731
3036,10272
1533,5056
445,3933
1956,7238
599,4723
345,1035
37,3731
2779,5971
2017,5098
8430,48
6447,4546
8693,2203
2793,7360
7728,3741
2092,4106
1266,9576
4345,8517
3133,4822
5070,4435
8387,8988
5856,2439
8921,3334
990,3942
4442,6220
8170,7615
3282,8711
6362,6199
8617,731
7313,4378
345,6577
2295,8493
8113,1231
5910,9740
8295,7241
3917,9583
5091,6356
5470,9480
788,5724
927,5819
4267,1728
560,5240
3614,9133
1190,1870
1781,4151
1059,9192
5020,7034
9032,7303
3955,5516
323,1442
5012,2117
2975,1811
6717,10164
8562,5902
1503,3479
1684,7028
9229,227
2994,3788
7803,5061
6658,10160
4184,551
6825,9351
10034,9837
2308,9619
6424,5130
10282,76
7004,6600
3721,6789
4008,3516
5494,3689
3640,7950
6665,3853
5109,2251
5478,1648
502,9694
9491,9104
7283,4188
1472,6027
3838,4091
10182,338
2866,8341
9445,4210
8487,1358
1134,9044
8035,3670
8693,5964
4661,4513
522,429
5443,7068
2578,9311
983,854
8421,6753
1598,3866
776,7157
1173,1360
267,8591
1129,1149
2609,6488
3818,8285
3650,3966
4834,5060
3283,6176
6313,9984
6550,2814
7466,5738
4786,7411
1228,2283
7078,4098
1700,4928
1364,7829
1198,5926
5838,6752
911,1357
8294,7162
3815,4931
9261,2644
7504,1389
7203,2971
5793,6603
6224,4281
3912,6800
9618,7993
385,8008
5277,7204
4901,4548
5445,7422
1313,3745
9878,9516
2527,507
4890,1518
7384,8377
4035,9515
6064,4096
4017,4551
2075,8137
53,7856
10056,2345
3478,3032
3966,8120
9092,8053
2132,9285
9262,6332
2109,3954
1457,10083
2554,6560
6180,3017
1464,6890
2890,10199
29,4657
9380,9599
7265,2683
1367,8379
10205,5029
4215,692
6310,3087
5180,481
6747,169
5971,1423
1713,901
8993,782
9467,4031
4968,4434
3611,1218
9606,1623
1769,4284
9662,1930
596,7496
8745,6101
4955,6253
6113,8076
6363,2700
5201,124
4662,1622
1024,3851
5468,2341
672,1309
2454,2671
311,4667
5255,8746
8226,6961
933,5660
3940,3253
3868,587
4741,5302
8173,7381
6205,4523
1081,9546
7225,441
6275,559
4055,601
5538,8608
1731,2823
1099,2184
2547,3474
4637,4028
9008,3464
5109,3148
8515,3142
824,3163
8572,3023
4400,6533
8266,725
5652,4664
1726,4868
4621,10252
5946,2516
3465,7174
483,5552
6457,5611
9301,1307
999,2353
3884,4819
1573,2371
8911,6532
4416,1620
9264,4626
8129,8746
3936,7614
1,6980
1081,974
4269,1494
4846,10090
716,7480
4931,2444
6512,10259
2376,2091
9961,10157
4794,8639
6187,1387
1783,2864
1879,9804
720,417
304,8408
5518,3294
7060,3769
1271,8945
4421,9107
8377,9145
4587,2146
5543,1070
2256,4252
588,5409
4322,7210
6115,183
1399,9075
952,5651
6820,3492
8571,6812
7631,8905
2626,5487
8233,2605
6646,7886
62,1159
1408,7044
4475,7235
5549,3025
5671,5805
1651,7547
7592,8706
2361,975
5214,5929
1215,5165
3401,8343
6175,888
3445,109
2208,4698
94,9055
3263,9389
6190,4899
1823,10181
9463,1035
9220,3772
3840,10080
3095,3803
1941,10233
3041,8771
8917,9108
291,8644
8309,6209
3391,10031
7009,1115
2760,3156
7421,2625
3731,10240
8763,3943
6282,8561
7273,161
6947,2694
4331,6427
5628,9237
1003,8419
4214,1037
1912,6704
8189,1763
967,6467
1752,9456
8933,4336
5302,8388
1304,1546
6631,8752
8866,3579
1350,7788
2872,2075
7620,2982
3632,526
6320,10047
6657,6402
9795,2053
4597,4482
8927,10140
9973,8009
5230,312
5574,8443
2121,3507
2539,6693
4990,6120
9177,5022
2314,705
8277,3991
701,3556
5971,10208
8734,5103
3454,4030
5063,1179
6599,5311
3604,2790
2126,995
728,2143
9193,3475
7441,10146
7978,10054
6604,9011
10277,5066
424,9720
3991,7608
4235,7535
5029,5131
8090,2192
4664,8420
3601,3754
9590,9814
8228,265
1970,7658
5815,6688
2963,6579
9382,1490
10135,7216
4816,2682
7647,1725
7130,3805
249,3674
6655,1563
1207,1526
5338,8360
4818,3253
8654,4269
10156,2259
8884,118
1872,9197
9657,6747
10292,9460
4368,4594
7013,9282
8577,7856
7630,8619
7615,2356
488,3277
6759,2560
6092,9487
9781,1379
5681,1239
5125,2056
6181,6754
1531,8095
52,6878
6815,2154
9073,2588
5682,5723
5433,6393
3532,8100
4357,1965
8525,9244
893,10039
510,3667
7674,5802
2198,6611
128,4023
9250,3557
10264,6246
4947,1310
2553,5688
124,6081
3383,5220
2538,1458
8568,5480
6990,6267
4842,5759
6778,7698
8453,5475
1663,9314
7909,319
2075,2082
164,5734
5920,5670
4653,3732
690,2513
3108,6608
2254,3021
1700,5328
5474,628
8376,2652
9450,9636
2069,5795
4912,8402
958,3353
3225,4131
2929,7215
6848,945
6230,8316
1424,5792
2040,7758
9616,6985
3685,7555
5173,4768
8722,2165
9877,6639
169,2678
632,4478
8781,2214
4752,7111
3852,3471
6620,9553
5417,6559
2224,4151
1974,95
5313,3444
4390,3442
4723,1880
2622,3670
160,5009
5086,1450
3079,3758
5839,1669
5179,2419
5878,8803
1405,8413
3766,8008
8407,8238
7863,2013
1423,7504
3562,3501
353,6918
5139,668
5635,9601
2752,5818
4376,9048
6294,198
5659,7015
10058,2370
10217,2257
6112,1962
2199,8101
7864,2861
7602,6228
8502,7522
582,2268
6845,5588
3609,9253
9655,3480
10034,4248
8355,150
2158,5626
4605,3017
2212,1290
5973,9752
9557,8296
6003,2525
6686,6060
2225,2408
9795,10310
1979,847
2093,5403
5906,5725
4461,10252
7946,1159
5609,8888
1844,7489
9906,9168
2538,8459
6328,847
7211,8426
6358,6573
3425,9232
2324,1698
6057,8493
5525,8548
6135,9981
2420,4175
10065,3121
9275,2183
7546,8457
2065,2893
9100,8127
1649,7517
6276,3878
8196,2558
9594,2272
4376,4227
6060,7999
5641,8239
8276,5891
4298,8138
3410,2393
1778,9177
7864,8861
7154,7332
5795,1508
3023,3058
9280,1885
5894,175
7048,5015
1470,4263
1450,7945
246,1103
9608,1288
8533,9909
7873,7280
9879,5734
519,5187
8458,3455
3959,4005
9370,8013
628,7464
5874,6653
4673,4666
4485,1728
7941,5814
5553,822
6412,3762
7403,468
5437,8696
1428,8074
2912,6009
9958,6103
709,1242
9829,1640
1206,5632
5709,4250
562,5883
3822,5376
3639,3397
2378,6506
8049,5031
6460,3842
1423,2292
2707,7097
1504,7450
4411,7714
3617,7081
3487,7515
8350,2889
3372,7409
1638,9031
5531,3799
4521,4228
8862,2082
2657,9293
7413,5368
7027,6006
2721,8587
7102,970
4752,542
7545,3765
2889,3609
5018,405
6111,9862
1935,8912
1205,4015
4297,9586
3051,118
8601,3170
1920,3809
3509,8698
110,5133
5965,6926
9908,969
7700,9637
10007,1896
10127,9138
7576,6418
1010,6041
4585,1762
10109,4729
3983,1820
5186,10033
6653,456
10187,6853
8069,6754
4485,713
1351,9220
2652,1936
1615,7466
7583,8748
8916,8219
4975,1544
5318,8227
9926,1369
123,6399
7429,109
3935,7958
3087,3548
1295,3673
9627,5663
2027,140
8502,7787
3031,663
257,8368
9385,1074
4646,4022
6254,858
9161,5277
5394,4329
683,960
8389,1688
2267,8809
6751,8556
3541,9944
9487,2180
4207,10004
10259,9059
1571,6931
1674,3708
8863,1391
1828,10024
7111,8694
2442,1269
5185,10014
9903,6545
4233,1098
4209,9970
197,3597
4506,5084
8646,300
2784,3469
7656,5920
5309,8178
1414,8289
4805,4887
7535,9567
805,9651
8534,8595
10238,8147
4906,9793
2151,6532
4160,8519
8710,8550
7111,1697
2276,3108
6880,8749
5731,5799
4888,8894
9291,7585
1835,1133
317,3072
7385,5926
2112,7064
6383,3659
10219,4768
4914,4197
2172,181
5387,6840
502,3240
5643,9017
9529,5208
4989,6412
1446,2094
7451,2818
9519,3152
1094,8333
3712,435
4263,1933
3261,7960
9340,7918
541,9540
935,8260
1797,1875
4056,9627
6436,9674
1307,3737
9053,9459
4715,4977
8753,1999
5397,4271
9131,1496
9922,9569
8645,4336
5479,6094
7745,1050
9370,399
5979,1612
7489,7160
2100,1100
8384,10275
8117,1178
4265,4794
203,6262
453,1407
8769,4123
9711,7243
6193,6334
9533,2196
3647,7974
807,1470
5342,9440
9474,1417
7108,646
1054,7474
1996,1239
4457,6394
10228,10079
7483,2170
4251,9781
7424,4686
2381,2954
4843,3079
1401,4634
2577,6261
6369,500
879,9435
3420,4633
4040,8144
6760,178
4764,7834
2138,1702
563,1141
1841,8058
8532,736
6822,6412
5717,911
2388,1697
3972,8635
3965,5228
3178,4714
4221,35
8414,5576
4080,175
1500,4760
3117,6816
8222,9940
4912,7348
5679,3574
151,7418
7563,1331
5873,3277
6687,7173
8354,7879
4172,1312
4377,2625
5347,7154
9941,9083
1283,5640
9317,7788
10217,3321
2411,9838
4665,8683
5145,2649
4185,7622
5825,3219
9976,7323
1347,2412
8828,9363
5567,7593
3920,8742
2844,1863
4089,2633
10181,4000
7875,6009
6681,9914
4030,1267
137,8082
8080,9984
1844,1967
7986,2646
3664,9698
1897,5768
961,1812
8530,5099
1905,3020
6720,8940
1206,5715
7427,5439
6162,6783
3085,6631
1118,2892
8424,5555
7312,9407
4462,6644
260,6293
8090,3707
6152,3116
2543,2305
773,2139
2927,7495
151,1182
5462,634
4094,3378
8677,251
6361,5675
2615,6255
2933,7138
580,4675
2839,9982
3736,7936
7188,7171
10183,2923
4629,7614
885,3396
10147,8811
1263,10154
10038,6791
5447,3066
2294,1181
3645,8128
6882,4805
3956,8774
1112,5059
9172,2913
870,3875
9105,1050
6795,4410
239,629
2233,6967
4614,8720
9692,8410
3176,9956
4151,5326
4922,5345
2651,6236
2573,1088
9972,5009
5826,2622
3797,7981
